,resT0,resT1,resT2,resT3,bareT0,bareT1,bareT2,bareT3,trancom,resT0,Genus0,resT1,Genus1,resT2,Genus2,resT3,Genus3,bareT0,Genus4,bareT1,Genus5,bareT2,Genus6,bareT3,Genus7,,,,OTUID,Genus,OTUID,Genus,OTUID,Genus,OTUID,Genus
55,,,,,,,,,trancom,Otu863,Chthonomonas,Otu676,Unrecognized,,,Otu920,Unrecognized,Otu1590,Unrecognized,,,,,Otu1026,Aquicella,,,,,,,,,,,
56,,,,,,,,,trancom,Otu6946,Unrecognized,Otu34,Unrecognized,,,Otu1329,Unrecognized,Otu1784,Aquicella,,,,,Otu5728,Unrecognized,,,,,,,,,,,
57,,,,,,,,,trancom,Otu2516,Unrecognized,Otu525,Nordella,,,Otu381,Nocardioides,Otu4012,Chthoniobacter,,,,,Otu60,Ellin6067,,,,,,,,,,,
58,,,,,,,,,trancom,Otu2323,Unrecognized,Otu1175,Unrecognized,,,Otu388,Unrecognized,Otu157,Terrimonas,,,,,,,,,,,,,,,,,
59,,,,,,,,,trancom,Otu1004,Unrecognized,Otu5113,Blastocatella,,,Otu7069,Unrecognized,Otu56,Unrecognized,,,,,,,,,,,,,,,,,
60,,,,,,,,,trancom,Otu4140,Unrecognized,Otu579,Unrecognized,,,Otu3124,Unrecognized,Otu59,Sphingomonas,,,,,,,,,,,,,,,,,
61,,,,,,,,,trancom,Otu824,Anaeromyxobacter,Otu673,Unrecognized,,,Otu3939,Unrecognized,Otu1205,Unrecognized,,,,,,,,,,,,,,,,,
62,,,,,,,,,trancom,Otu1791,Unrecognized,,,,,Otu3295,Haliangium,Otu263,Unrecognized,,,,,,,,,,,,,,,,,
63,,,,,,,,,trancom,Otu686,Unrecognized,,,,,Otu1505,Unrecognized,Otu120,Unrecognized,,,,,,,,,,,,,,,,,
64,,,,,,,,,trancom,Otu386,Candidatus Solibacter,,,,,Otu2101,Unrecognized,Otu2629,Unrecognized,,,,,,,,,,,,,,,,,
65,,,,,,,,,trancom,Otu1187,MND1,,,,,Otu2460,Unrecognized,Otu3300,Unrecognized,,,,,,,,,,,,,,,,,
66,,,,,,,,,trancom,Otu2601,Sphingomonas,,,,,Otu747,Unrecognized,Otu128,Unrecognized,,,,,,,,,,,,,,,,,
67,,,,,,,,,trancom,Otu563,Unrecognized,,,,,Otu976,Unrecognized,Otu394,Unrecognized,,,,,,,,,,,,,,,,,
68,,,,,,,,,trancom,Otu1644,Unrecognized,,,,,Otu2948,Unrecognized,Otu6464,Gemmata,,,,,,,,,,,,,,,,,
69,,,,,,,,,trancom,Otu2759,Unrecognized,,,,,Otu766,Hirschia,Otu1161,Unrecognized,,,,,,,,,,,,,,,,,
70,,,,,,,,,trancom,Otu55,Rubrobacter,,,,,Otu849,Unrecognized,Otu2831,Unrecognized,,,,,,,,,,,,,,,,,
71,,,,,,,,,trancom,Otu1285,Unrecognized,,,,,Otu122,Unrecognized,Otu5016,RB41,,,,,,,,,,,,,,,,,
72,,,,,,,,,trancom,Otu2481,Ammoniphilus,,,,,Otu2201,Unrecognized,Otu1171,Unrecognized,,,,,,,,,,,,,,,,,
73,,,,,,,,,trancom,Otu3236,Unrecognized,,,,,Otu420,Pedomicrobium,Otu2141,Unrecognized,,,,,,,,,,,,,,,,,
74,,,,,,,,,trancom,Otu5342,Unrecognized,,,,,Otu2279,Unrecognized,Otu74,Unrecognized,,,,,,,,,,,,,,,,,
75,,,,,,,,,trancom,Otu1938,Unrecognized,,,,,Otu2367,Unrecognized,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,trancom,Otu1432,Unrecognized,,,,,Otu401,Gemmatimonas,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,trancom,Otu4497,Unrecognized,,,,,Otu1524,Unrecognized,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,trancom,Otu786,Unrecognized,,,,,Otu3678,Jatrophihabitans,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,trancom,Otu110,Chthoniobacter,,,,,Otu717,Unrecognized,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,trancom,Otu2064,Unrecognized,,,,,Otu1320,Unrecognized,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,trancom,Otu72,Pirellula,,,,,Otu2131,Unrecognized,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,trancom,,,,,,,Otu2173,Unrecognized,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,trancom,,,,,,,Otu253,Unrecognized,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,trancom,,,,,,,Otu47,Chthoniobacter,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,trancom,,,,,,,Otu126,Unrecognized,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,trancom,,,,,,,Otu199,Rubrobacter,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,trancom,,,,,,,Otu831,Unrecognized,,,,,,,,,,,,,,,,,,,
